Timestamp,What is your favorite music genre?,Rate each music genre from 1 (don't like) to 5 (love): [Pop],Rate each music genre from 1 (don't like) to 5 (love): [Hip Hop / Rap],Rate each music genre from 1 (don't like) to 5 (love): [Rock],Rate each music genre from 1 (don't like) to 5 (love): [Country],Rate each music genre from 1 (don't like) to 5 (love): [R&B / Soul],Rate each music genre from 1 (don't like) to 5 (love): [Classical],Rate each music genre from 1 (don't like) to 5 (love): [K-POP],Rate each music genre from 1 (don't like) to 5 (love): [EDM / Electronic],Rate each music genre from 1 (don't like) to 5 (love): [Jazz],What time of day do you listen to music the most?,How many hours do you listen to music?,What do you usually use to listen to music?,Who is your favorite artist right now? (Only one name please),How does your favorite music usually make you feel? (Choose up to 3 emotions that best describe it)
4/9/2025 11:57:08,Rock,4,4,5,4,4,4,3,2,2,During school (if allowed),1,Spotify,Owl City,"Energetic ⚡, Sad 😢, Nostalgic 📸"
4/9/2025 11:58:03,Hip Hop / Rap,4,5,2,2,5,3,2,2,4,During school (if allowed),4,Spotify,Dave ,Relaxed 😌
4/9/2025 11:58:06,Pop,4,3,4,1,3,2,1,2,2,Afternoon (after school),2,Spotify,Maluma,"Happy 😊, Energetic ⚡, Focused 🎯"
4/9/2025 12:01:32,Rock,5,5,5,1,4,4,1,1,5,Afternoon (after school),2,Spotify,djo,"Relaxed 😌, Sad 😢, Nostalgic 📸"
4/9/2025 12:08:08,Rock,3,2,5,2,3,4,3,2,4,Afternoon (after school),5,YouTube,the clash,Option 8
4/9/2025 12:13:37,EDM / Electronic,5,5,4,3,4,4,4,5,5,During school (if allowed),3,Spotify,The Weekend,"Happy 😊, Energetic ⚡, Focused 🎯"
4/9/2025 12:15:38,Pop,5,4,4,3,2,3,2,2,3,During school (if allowed),4,Spotify,Linkin Park,"Energetic ⚡, Focused 🎯, Inspired 🌟"
4/9/2025 12:16:17,Pop,5,5,5,1,3,2,1,3,2,Morning (before school),2,Spotify,Charli XCX,"Energetic ⚡, Confident 💪, Inspired 🌟"
4/9/2025 12:17:25,Country,3,4,4,5,4,3,1,2,3,During school (if allowed),5,Spotify,Morgan Wallen,"Happy 😊, Energetic ⚡, Relaxed 😌"
4/9/2025 12:27:42,Hip Hop / Rap,5,5,3,1,4,4,2,3,3,Afternoon (after school),8,Apple Music,Drake,"Happy 😊, Relaxed 😌, Nostalgic 📸"
4/9/2025 12:28:13,Pop,5,3,2,3,2,2,2,2,2,Afternoon (after school),5,Apple Music,Taylor Swift,Happy 😊
4/9/2025 12:29:22,Pop,5,2,5,4,3,2,1,1,1,Late night (before bed),6,Apple Music,Taylor Swift,"Happy 😊, Energetic ⚡, Relaxed 😌"
4/9/2025 12:48:34,Pop,5,4,2,1,3,2,3,5,2,Afternoon (after school),2,Spotify,Zayn,"Happy 😊, Energetic ⚡, Confident 💪"
4/9/2025 12:52:33,R&B / Soul,5,4,4,3,5,4,3,3,3,Morning (before school),2,Apple Music,Hozier,Focused 🎯
4/10/2025 9:45:38,Pop,5,4,1,2,3,1,1,3,1,During school (if allowed),2,Apple Music,Tate Mcrae,"Happy 😊, Energetic ⚡, Inspired 🌟"
5/1/2025 11:40:20,Rock,4,1,5,2,2,3,1,1,3,Evening (after dinner),2,Spotify,Weezer,"Happy 😊, Energetic ⚡, Inspired 🌟"
5/1/2025 11:48:40,Hip Hop / Rap,4,5,4,4,3,3,2,5,3,During school (if allowed),1,YouTube,Harry Mack,"Happy 😊, Energetic ⚡, Inspired 🌟"
5/1/2025 13:21:11,Pop,5,4,2,2,3,2,3,1,1,Afternoon (after school),5,YouTube,Sabrina Carpenter,"Happy 😊, Energetic ⚡, Confident 💪"
